date,news_count,negative_news_count,positive_news_count,negative_news_ratio,positive_news_ratio,category_FOMC,category_FRASER,category_UCSB,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_emb_0,body_emb_1,body_emb_2,body_emb_3,body_emb_4,body_emb_5,body_emb_6,body_emb_7,body_emb_8,body_emb_9,body_emb_10,body_emb_11,body_emb_12,body_emb_13,body_emb_14,body_emb_15,body_emb_16,body_emb_17,body_emb_18,body_emb_19,body_emb_20,body_emb_21,body_emb_22,body_emb_23,body_emb_24,body_emb_25,body_emb_26,body_emb_27,body_emb_28,body_emb_29
2017-01-02,12,4.0,0.0,0.33333333330555553,0.0,0.0,1.0,0.0,0.0672579171756903,0.068280023522675,0.8644620627164841,-0.0010221063469846904,0.0939408503002851,0.1676456103575162,0.7384135399821082,-0.07370476005723105,-0.11776976721982162,-0.17815495065102974,0.025280432154734928,0.01772784534841776,-0.040335673838853836,-0.08748976451655228,-0.011135575671990713,-0.037314814825852714,0.03875751839950681,-0.0009305762747923533,0.02161197705815236,-0.00358699851979812,-0.00511168750623862,0.03367846878245473,-0.041876254292825855,0.05358545109629631,0.0015436702718337376,-0.023024692200124264,0.026281397168835003,-0.01370314865683516,-0.015739548951387405,0.01929573342204094,0.005179551585266988,0.05112818069756031,-0.008320949040353298,0.004747211933135986,-0.013216262217611074,-0.013606083734581867,-0.02290542299548785,-0.004129696637392044
2017-01-04,1,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0,0.0270511489361524,0.0232000350952148,0.9497488141059875,0.0038511138409376,0.1264087393346421,0.2847236972714288,0.5888675568342113,-0.1583149579367866,-0.2338014841079712,0.2625259459018707,0.04702872037887573,-0.0019148513674736023,-0.15101885795593262,-0.14775793254375458,0.10742001235485077,0.10964655876159668,-0.005793571472167969,0.12180671840906143,-0.09075400233268738,-0.1131206750869751,0.09225616604089737,0.052183933556079865,-0.06582054495811462,0.0028338655829429626,0.11728069186210632,-0.00991477258503437,-0.04430815577507019,0.016859998926520348,0.03606126084923744,-0.11954642832279205,0.038240037858486176,-0.009579131379723549,-0.002522489055991173,-0.13611213862895966,0.02995869889855385,0.03050924465060234,0.07414186000823975,0.003120455890893936
2017-01-05,1,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0,0.031963225454092,0.0727584138512611,0.8952783942222595,-0.0407951883971691,0.0657549118768745,0.2643841039449884,0.6698609818813159,-0.1986291920681138,-0.23971916735172272,0.2023927867412567,0.10637472569942474,-0.1254708468914032,-0.008357569575309753,0.04479067027568817,-0.03748068958520889,-0.04464062303304672,-0.06389838457107544,0.02722923457622528,-0.1479678601026535,-0.017429232597351074,0.006476409733295441,0.07345286756753922,0.018673725426197052,0.05963766574859619,0.03033725917339325,0.054886333644390106,0.12363670766353607,-0.02812907099723816,0.05925585329532623,0.09242413192987442,0.09909741580486298,-0.10163091868162155,0.007516656070947647,0.11055214703083038,0.02206796407699585,-0.02912370301783085,0.030937153846025467,0.11641544103622437
2017-01-09,1,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0,0.0371269583702087,0.239676296710968,0.7231967449188232,-0.2025493383407592,0.086572460808267,0.2687385975731877,0.644688943666963,-0.1821661367649206,0.021792054176330566,-0.08344405144453049,0.1272626370191574,0.5394171476364136,0.10833501070737839,0.06668268144130707,-0.04207836836576462,0.005247637629508972,-0.005189627408981323,0.019816115498542786,-0.11040344834327698,-0.045015089213848114,0.007094278931617737,0.08727343380451202,0.06841906905174255,0.024343477562069893,-0.05514264106750488,-0.0598684623837471,0.06148533895611763,0.030396871268749237,-0.03840937837958336,0.06535648554563522,-0.023890215903520584,0.06351352483034134,0.007474960759282112,-0.015147941187024117,-0.012702751904726028,-0.002924051135778427,0.007538974285125732,-0.035244349390268326
2017-01-10,1,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0,0.0316735059022903,0.0557666011154651,0.9125598669052124,-0.0240930952131748,0.1998287338727959,0.4033407753593904,0.3968304698067417,-0.2035120414865945,0.05135464668273926,-0.07116802036762238,0.04326893389225006,0.09953077137470245,-0.04854545742273331,-0.02609020471572876,-0.13074153661727905,-0.02112501487135887,-0.08404117822647095,-0.09999650716781616,0.06424084305763245,0.04300692677497864,-0.08917324990034103,-0.02111121267080307,0.04932909458875656,-0.014907695353031158,0.0006266236305236816,0.004321828484535217,0.051617421209812164,0.06835294514894485,-0.08370715379714966,0.10392140597105026,0.04155215620994568,-0.029909024015069008,-0.027372824028134346,-0.01394711621105671,0.031175609678030014,0.021095726639032364,-0.08282402902841568,-0.002924744039773941
2017-01-12,2,0.0,1.0,0.0,0.49999999975,0.0,1.0,0.0,0.052457323297858204,0.0407814662903547,0.9067612290382385,0.011675857007503499,0.2841984690089837,0.16656731802918884,0.5492342022939916,0.1176311509797948,0.09616248309612274,-0.09696637280285358,0.019473768770694733,-0.041900910437107086,-0.04386273771524429,-0.07166815549135208,-0.08122067525982857,0.08382265828549862,-0.04611532762646675,-0.12555697560310364,0.0011952482163906097,-0.09335148334503174,0.0457342304289341,0.08243024349212646,0.033118545077741146,-0.0023321881890296936,-0.035264573991298676,0.02569782081991434,-0.02815854921936989,0.06683551706373692,0.00675547681748867,0.05488140881061554,0.1588957980275154,-0.07227376848459244,-0.019998079165816307,0.05980036407709122,0.04313000664114952,0.06349814124405384,-0.06792227923870087,0.025737655349075794
2017-01-17,4,1.0,1.0,0.2499999999375,0.2499999999375,0.0,1.0,0.0,0.1277781873941421,0.039479637052863774,0.8327421844005585,0.08829855034127826,0.17780182921170082,0.12509014422441142,0.697108016674373,0.05271168498728937,0.018358541652560234,-0.11576092522591352,-0.05082424730062485,-0.00982579868286848,-0.027314787730574608,-0.045798756182193756,0.08123203366994858,0.08822517096996307,-0.019353787414729595,-0.0811482835561037,-0.032743923366069794,-0.0038201622664928436,-0.04490680992603302,-0.10680547636002302,0.15336956083774567,0.04655309161171317,0.05143479257822037,-0.0896141272969544,-0.06674403138458729,-0.05822224821895361,-0.041811201721429825,0.02627706527709961,-0.047207312658429146,-0.08818125212565064,-0.04322764044627547,0.014945177361369133,0.07223485503345728,0.046031348407268524,0.007854967378079891,-0.012191204354166985
2017-01-23,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0364092523232102,0.19289288297295565,0.7706978619098663,-0.15648363064974546,0.12414700714352961,0.17158623308491824,0.704266760711991,-0.04743922594138865,0.07634568959474564,0.05126458406448364,-0.00526738166809082,-0.017520321533083916,-0.0752452090382576,-0.02519705519080162,0.04940865561366081,-0.026535917073488235,0.02242022193968296,-0.044680818915367126,0.06047556921839714,-0.06741496175527573,-0.05060679093003273,-0.03811470791697502,-0.016987929120659828,0.0625614132732153,0.008468836545944214,-0.0563246151432395,0.07489882782101631,0.03804786689579487,0.06830936018377542,0.04933223873376846,-0.011473141610622406,0.022613808512687683,0.06500518321990967,-0.007805333472788334,-0.03788210637867451,0.04453055001795292,0.13185840845108032,-0.031010189093649387
2017-01-30,2,1.0,0.0,0.49999999975,0.0,0.0,1.0,0.0,0.03400398045778265,0.17921693250536913,0.7867790758609772,-0.14521295204758639,0.116922558429577,0.3471428531925542,0.5359345911440578,-0.2302202947629772,-0.153557687997818,0.2280118204653263,0.072050079703331,0.016209393739700317,-0.16624321416020393,-0.14639479666948318,-0.06632592901587486,-0.09239974431693554,0.02678215503692627,0.002420194447040558,-0.06435598060488701,0.009030666202306747,0.08471482992172241,0.07032555341720581,-0.017614461481571198,0.02047114446759224,0.07828274369239807,0.05333996331319213,0.005825020372867584,-0.0691631343215704,-0.04232686571776867,0.032153740525245667,0.004098651930689812,0.003481358289718628,-0.07935715280473232,0.03662237152457237,-0.12163113802671432,0.006198684684932232,-0.01582297682762146,0.004471305757761002
2017-01-31,1,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0,0.0180460102856159,0.0636642277240753,0.9182897210121156,-0.0456182174384593,0.0781972525508249,0.3613226293523804,0.5604801153946208,-0.2831253768015556,0.06526137888431549,0.18350684642791748,-0.046860069036483765,0.0392330139875412,-0.3375239074230194,-0.11608566343784332,0.03137003630399704,-0.07505226135253906,-0.1204787939786911,0.10507664084434509,0.05710599571466446,-0.08846905827522278,0.031931862235069275,0.03147091716527939,0.007683988660573959,-0.08283877372741699,-0.0836581289768219,-0.3246610164642334,-0.021552644670009613,0.023208012804389,-0.05641428753733635,-0.06979133188724518,0.020580094307661057,-0.07331251353025436,0.03627247363328934,-0.09842116385698318,-0.028262950479984283,0.06273157894611359,0.033566199243068695,0.04310564696788788
