date,news_count,negative_news_count,positive_news_count,negative_news_ratio,positive_news_ratio,category_BIS,category_FOMC,category_UCSB,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_emb_0,body_emb_1,body_emb_2,body_emb_3,body_emb_4,body_emb_5,body_emb_6,body_emb_7,body_emb_8,body_emb_9,body_emb_10,body_emb_11,body_emb_12,body_emb_13,body_emb_14,body_emb_15,body_emb_16,body_emb_17,body_emb_18,body_emb_19,body_emb_20,body_emb_21,body_emb_22,body_emb_23,body_emb_24,body_emb_25,body_emb_26,body_emb_27,body_emb_28,body_emb_29
2017-01-12,2,1.0,1.0,0.49999999975,0.49999999975,0.0,0.0,1.0,0.028800323605537352,0.3392333295196294,0.6319663673639296,-0.31043300591409206,0.27319841977529036,0.21851834182158655,0.5082832363829282,0.05468007795370375,-0.009152229875326157,-0.11438354849815369,0.09558702260255814,-0.015003405511379242,0.20922468975186348,0.06321186572313309,-0.07524717599153519,0.002042919397354126,-0.005645591765642166,0.0047620441764593124,0.0820111408829689,-0.03150389716029167,0.09661643393337727,0.1313917264342308,-0.029137231409549713,-0.06741325743496418,0.05346201825886965,0.0030606426298618317,0.01024577021598816,9.088590741157532e-05,0.07327784970402718,0.04881634749472141,0.060707299038767815,0.015765484422445297,-0.02717035822570324,-0.002775203436613083,-0.04999150522053242,0.054242368787527084,0.03527642786502838,0.038424788042902946
2017-01-13,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2817291524261236,0.0237125344574451,0.6945582628250122,0.2580166179686784,0.03595371158702725,0.09663895865648936,0.8674073230887468,-0.0606852470694621,-0.05555249564349651,0.09107510931789875,-0.11158542335033417,-0.10880228877067566,-0.04963819123804569,0.013430659659206867,0.24762841314077377,-0.08155692927539349,-0.0751715712249279,0.008689366281032562,0.10269458405673504,0.05998147279024124,0.033091530203819275,0.07528272643685341,0.1081191897392273,-0.004781685769557953,-0.02537622954696417,-0.03561171889305115,0.01507914811372757,0.03956739418208599,0.10058022290468216,-0.011561878025531769,-0.057100871577858925,0.00200791098177433,-0.057123517617583275,-0.0029775165021419525,-0.023573249578475952,-0.043516852892935276,-0.11698208004236221,-0.0023302435874938965
2017-01-16,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1772772967815399,0.0112058278173208,0.8115168809890747,0.1660714689642191,0.293714606374198,0.3139230751532695,0.3923623254228943,-0.0202084687790714,-0.10820552706718445,-0.0158670786768198,-0.2822642922401428,0.12416664510965347,-0.1656201332807541,-0.06416115164756775,0.1835869401693344,-0.09955550730228424,0.17601259052753448,-0.26210418343544006,0.04956962168216705,-0.30110713839530945,0.0031633488833904266,-0.045847825706005096,0.1257878541946411,-0.07788346707820892,0.19990137219429016,-0.0337950624525547,-0.08209124207496643,0.06491003185510635,0.02691619098186493,-0.10940060764551163,-0.09836699068546295,-0.0034392960369586945,-0.07703856378793716,0.07824569195508957,-0.013392578810453415,0.02923460118472576,0.11145631223917007,-0.08641718327999115
2017-01-17,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0985417068004608,0.0195517297834157,0.8819065690040588,0.078989977017045,0.0242783435002323,0.0377247398565957,0.9379969575941236,-0.0134463963563633,0.05255934223532677,0.05889344587922096,0.16717463731765747,-0.3663879632949829,0.3860428035259247,-0.22538846731185913,0.009360626339912415,-0.009914571419358253,-0.08300664275884628,0.01096561923623085,0.12604358792304993,-0.12485414743423462,0.15663912892341614,0.17217828333377838,-0.06705798953771591,-0.09394654631614685,-0.021966800093650818,-0.08976805955171585,0.1472117006778717,-0.03397085890173912,0.06382069736719131,0.09308948367834091,-0.06460168957710266,-0.023650750517845154,0.09131797403097153,-0.06897477060556412,-0.008828490972518921,0.00528176873922348,-0.010719126090407372,0.005791500210762024
2017-01-18,1,0.0,1.0,0.0,0.9999999989999999,0.0,0.0,1.0,0.0320792682468891,0.040970504283905,0.9269501566886902,-0.0088912360370159,0.2614219713070225,0.0190525599897316,0.7195254770539156,0.2423694113172909,0.054235659539699554,-0.4068477749824524,-0.11835485696792603,-0.1402464359998703,-0.16217924654483795,-0.09445057809352875,-0.167986199259758,-0.010650722309947014,-0.016969770193099976,-0.015316110104322433,0.06359467655420303,0.022472452372312546,0.021298851817846298,0.09732872247695923,0.05699635669589043,0.05008171498775482,0.1178298071026802,-0.07751037925481796,0.10815146565437317,-0.05873413011431694,0.025898456573486328,0.012018192559480667,-0.18512463569641113,-0.0018296875059604645,0.09982988983392715,0.041586898267269135,0.08370810747146606,-0.0062057701870799065,0.08758120983839035,-0.07476764917373657
2017-01-23,1,1.0,0.0,0.9999999989999999,0.0,0.0,0.0,1.0,0.0399411544203758,0.2287013679742813,0.7313574552536011,-0.1887602135539055,0.0189338648354639,0.3725959029784378,0.6084702036686864,-0.3536620381429738,0.03357328474521637,0.15144573152065277,-0.18248479068279266,-0.15404212474822998,-0.03932793065905571,0.10840460658073425,0.30901962518692017,-0.1362331360578537,0.061758898198604584,0.20046879351139069,0.1814269870519638,0.1359977275133133,0.06499801576137543,0.31040024757385254,0.0332571417093277,0.015512771904468536,-0.03311808779835701,-0.05529046058654785,0.06920745968818665,0.05692854896187782,0.10819794237613678,0.02170030027627945,0.0880647748708725,0.03283194079995155,-0.028181426227092743,0.035256724804639816,-0.09134017676115036,-0.06632176041603088,-0.04404186084866524,0.04459028318524361
2017-01-25,2,1.0,0.0,0.49999999975,0.0,0.0,0.0,1.0,0.2451228983700275,0.041145668365061255,0.713731437921524,0.2039772300049662,0.044529914855957003,0.14174474310129875,0.8137252926826477,-0.09721482824534179,0.032585661858320236,-0.1666862517595291,-0.01917269080877304,-0.3613186180591583,0.13361068442463875,0.15348155796527863,-0.031653061509132385,-0.0608756416477263,0.03079788014292717,0.0304605383425951,0.0037224646657705307,-0.03358893841505051,0.030591338872909546,0.04367209039628506,-0.060690987855196,-0.043355219066143036,-0.03843825589865446,-0.0083167664706707,-0.10944493114948273,0.02912021055817604,-0.029553625732660294,0.06546637415885925,0.09231506288051605,0.04439128376543522,0.009142257273197174,0.0539791826158762,0.09046534448862076,-0.15315140783786774,0.007443951442837715,-0.08782351575791836
2017-01-27,3,1.0,1.0,0.3333333332222222,0.3333333332222222,0.0,0.0,1.0,0.1978011019527912,0.0402281923840443,0.7619706988334656,0.15757290956874687,0.1597186642821754,0.15395062293367318,0.6863307373575358,0.005768041348502229,0.041082777082920074,-0.2031246336797873,-0.1110484916716814,-0.11599790304899216,-0.031206009599069755,0.011485913147528967,0.08482817312081654,-0.045461525519688926,0.10909342269102733,-0.07621957423786323,0.06444176038106282,-0.0984821617603302,0.01774484912554423,0.03481893862287203,-0.09481991703311603,-0.022520144780476887,-0.023999113589525223,-0.013178912301858267,-0.0625652273495992,-0.0074815209954977036,-0.058992885053157806,-0.011154090364774069,-0.013860904922087988,-0.009538009762763977,0.04671717993915081,-0.018046153088410694,-0.04490116114417712,-0.08621286142927904,0.023314162467916805,-0.06234517693519592
2017-01-30,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1129762368897597,0.02005600060025847,0.8669677575429281,0.09292023628950113,0.051324368969433765,0.059298086952935834,0.8893775666259088,-0.007973717983502068,0.04004754622777303,0.01596871887644132,-0.1791166365146637,-0.12249269212285678,0.04618216430147489,0.04855270435412725,0.07623156408468883,0.1274863841633002,0.028962501635154087,0.017581002165873844,0.021581692000230152,0.042081436763207115,0.046734731644392014,0.04617790256937345,0.0475467915336291,-0.07395874460538228,-0.04947808633248011,-0.0019148016969362895,-0.1606371154387792,-0.0014520796636740367,-0.046830313901106514,0.030277291933695476,-0.08293874934315681,0.05535497268040975,-0.0069174741705258684,-0.0038465348382790885,-0.004005983471870422,-0.01576618291437626,0.07853955527146657,-0.02678496887286504
2017-02-01,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0257567819207906,0.074908398091793,0.8993348479270935,-0.0491516161710023,0.229766445246056,0.1059629988037238,0.664270574563371,0.1238034464423321,0.4867669939994812,0.23969553411006927,-0.05794628709554672,0.09967048466205597,-0.08090458065271378,-0.05015094205737114,-0.04584969952702522,-0.0265207402408123,-0.030466504395008087,-0.017645157873630524,-0.03931455686688423,0.019084524363279343,-0.0035646148025989532,0.02637908235192299,0.019179504364728928,-0.00776323676109314,0.02010943554341793,0.014819301664829254,-0.04457288980484009,0.018263403326272964,0.011354610323905945,0.012523747980594635,-0.07094588875770569,0.05807877704501152,0.01705051027238369,-0.00715983659029007,0.047378476709127426,0.046286165714263916,-0.06722654402256012,0.016089819371700287
