date,news_count,category_BIS,category_FOMC,category_UCSB,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_weekend,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_n_chunks
2019-03-21,1,1.0,0.0,0.0,-0.900968867902419,1.0,6.123233995736766e-17,0.0,0.0843668952584266,0.7034756541252136,0.2121573984622955,-0.619108758866787,0.0305833383593771,0.1685886608250122,0.8008279920459198,-0.1380053224656351,7.0,0.0
2019-05-22,1,1.0,0.0,0.0,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,0.0,0.0365901254117488,0.5481413006782532,0.4152685105800628,-0.5115511752665043,0.0428753459929033,0.2847448730238454,0.6723797580464826,-0.241869527030942,4.0,0.0
2019-06-11,1,1.0,0.0,0.0,0.6234898018587336,1.2246467991473532e-16,-1.0,0.0,0.0297060962766408,0.731342613697052,0.2389512956142425,-0.7016365174204111,0.0396817047394386,0.4277247285310952,0.5325935482443307,-0.3880430237916565,12.0,0.0
2019-06-14,1,1.0,0.0,0.0,-0.9009688679024191,1.2246467991473532e-16,-1.0,0.0,0.0246257297694683,0.7688292264938354,0.2065449655055999,-0.7442034967243671,0.0452443221897454,0.3930765913373788,0.5616790949913881,-0.3478322691476334,12.0,0.0
2019-06-27,1,1.0,0.0,0.0,-0.900968867902419,1.2246467991473532e-16,-1.0,0.0,0.0294815637171268,0.7632328271865845,0.207285538315773,-0.7337512634694576,0.0311525341327722,0.3249486274822171,0.6438988376659646,-0.2937960933494449,6.0,0.0
2019-07-02,1,1.0,0.0,0.0,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.0,0.0289137009531259,0.6183929443359375,0.3526933789253235,-0.5894792433828115,0.0857859678576934,0.3417656242499015,0.5724484058078667,-0.255979656392208,11.0,0.0
2019-07-16,1,1.0,0.0,0.0,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,0.0,0.0326109454035759,0.7774543166160583,0.1899346858263015,-0.7448433712124825,0.0689106905047874,0.1019826409028282,0.8291066517789437,-0.0330719503980408,11.0,0.0
2019-07-19,1,1.0,0.0,0.0,-0.9009688679024191,-0.4999999999999997,-0.8660254037844388,0.0,0.0266495402902364,0.8580107688903809,0.1153397560119628,-0.8313612286001444,0.0501828523939003,0.4063072982674665,0.5435098154048053,-0.3561244458735661,8.0,0.0
2019-08-09,1,1.0,0.0,0.0,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.0,0.0386285781860351,0.6144184470176697,0.3469530344009399,-0.5757898688316345,0.0409721765492863,0.2124319475798673,0.7465958733032099,-0.1714597710305809,4.0,0.0
2019-08-20,1,1.0,0.0,0.0,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.0,0.0461228266358375,0.6930400729179382,0.2608371675014496,-0.6469172462821007,0.0298139345997338,0.460787147747187,0.5093989460343668,-0.4309732131474532,5.0,0.0
2019-08-29,1,1.0,0.0,0.0,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.0,0.0277914311736822,0.7465924024581909,0.2256161272525787,-0.7188009712845087,0.0862679355852427,0.1082570418399632,0.8054750233852677,-0.0219891062547205,8.0,0.0
2019-09-24,1,1.0,0.0,0.0,0.6234898018587336,-1.0,-1.8369701987210292e-16,0.0,0.0460261665284633,0.7818337678909302,0.1721400916576385,-0.7358076013624668,0.0389210442246907,0.279525028049769,0.6815539366325214,-0.2406039838250782,4.0,0.0
2020-01-10,1,0.0,0.0,1.0,-0.9009688679024191,0.4999999999999999,0.8660254037844387,0.0,0.0575164519250392,0.42753466963768,0.5149489045143127,-0.3700182177126407,0.0206924229860305,0.342074304819107,0.6372332572937012,-0.3213818818330765,1.0,0.0
2020-01-22,1,0.0,0.0,1.0,-0.2225209339563143,0.4999999999999999,0.8660254037844387,0.0,0.0295311342924833,0.0443254262208938,0.9261434078216552,-0.0147942919284105,0.014050449244678,0.8799236416816711,0.1060258969664573,-0.8658731924369931,1.0,0.0
2020-01-30,1,1.0,0.0,0.0,-0.900968867902419,0.4999999999999999,0.8660254037844387,0.0,0.0505122430622577,0.8401032090187073,0.1093845590949058,-0.7895909659564495,0.0602914387610631,0.3182395749591963,0.6214689856613407,-0.2579481361981331,7.0,0.0
2020-02-04,3,0.0,0.0,1.0,0.6234898018587336,0.8660254037844387,0.5000000000000001,0.0,0.756131649017334,0.019544399653871797,0.2243239084879557,0.7365872493634621,0.3515374713984208,0.40901205725855116,0.23945048197967833,-0.05747458586013033,5.0,0.0
2020-02-25,1,0.0,0.0,1.0,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.0,0.0250299796462059,0.0507276579737663,0.9242423176765442,-0.0256976783275604,0.4502452156400379,0.3646151157064591,0.1851397053287502,0.0856300999335787,2.0,0.0
2020-02-26,1,0.0,0.0,1.0,-0.2225209339563143,0.8660254037844386,0.5000000000000001,0.0,0.0320792682468891,0.0409705117344856,0.9269501566886902,-0.0088912434875965,0.2406335572611705,0.0473693511261748,0.7119971078999703,0.1932642061349957,2.0,0.0
2020-03-02,1,0.0,0.0,1.0,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1.0,0.0320792682468891,0.040970504283905,0.9269501566886902,-0.0088912360370159,0.1527537647523652,0.4936406354069946,0.3536055748078742,-0.3408868706546294,2.0,0.0
2020-03-03,1,1.0,0.0,0.0,0.6234898018587336,1.0,6.123233995736766e-17,0.0,0.0508168824017047,0.6313832402229309,0.3177998960018158,-0.5805663578212261,0.0675783851129289,0.2536665583643677,0.6787550473776258,-0.1860881732514387,5.0,0.0
2020-03-11,1,0.0,0.0,1.0,-0.2225209339563143,1.0,6.123233995736766e-17,0.0,0.8834752440452576,0.019153980538249,0.097370758652687,0.8643212635070086,0.382955847614143,0.0550185271408049,0.562025620507266,0.327937320473338,8.0,0.0
2020-03-13,2,0.0,0.0,1.0,-0.9009688679024191,1.0,6.123233995736766e-17,0.0,0.4470765236765146,0.03061557002365585,0.5223078429698944,0.41646095365285873,0.2389042326831961,0.24910340067217807,0.5119923682327334,-0.010199167988982002,5.5,0.0
2020-03-18,1,0.0,0.0,1.0,-0.2225209339563143,1.0,6.123233995736766e-17,0.0,0.5187755823135376,0.1995790600776672,0.2816453576087951,0.3191965222358703,0.6207047193644233,0.0559141806995813,0.3233811139081667,0.5647905386648419,5.0,0.0
2020-03-20,1,0.0,0.0,1.0,-0.9009688679024191,1.0,6.123233995736766e-17,0.0,0.5829125046730042,0.0674021914601326,0.3496852517127991,0.5155103132128716,0.0636834339936159,0.2793303365315975,0.6569862452418982,-0.2156469025379815,6.0,0.0
2020-03-23,1,0.0,0.0,1.0,1.0,1.0,6.123233995736766e-17,0.0,0.3049040138721466,0.2147238403558731,0.4803721904754638,0.0901801735162735,0.0392817928902417,0.0594873222521691,0.9012308743577784,-0.0202055293619274,12.0,0.0
2020-03-27,1,0.0,0.0,1.0,-0.9009688679024191,1.0,6.123233995736766e-17,0.0,0.5442899465560913,0.3401167392730713,0.1155932769179344,0.20417320728302,0.3848860237427141,0.043570139958301,0.5715438563182836,0.3413158837844131,9.0,0.0
2020-04-14,2,0.0,0.0,1.0,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.0,0.45794382132589817,0.029900716617703403,0.5121554732322693,0.42804310470819473,0.2537917781828163,0.18470931579451855,0.5614988851057225,0.06908246238829774,3.5,0.0
2020-04-15,1,0.0,0.0,1.0,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0.0,0.046180997043848,0.5268656015396118,0.426953375339508,-0.4806846044957638,0.1220778716944907,0.3266561741354289,0.5512659811212746,-0.2045783024409382,6.0,0.0
2020-04-22,1,0.0,0.0,1.0,-0.2225209339563143,0.8660254037844387,-0.4999999999999998,0.0,0.2887110114097595,0.3840228021144867,0.3272661566734314,-0.0953117907047271,0.0785857708993574,0.5357189240048308,0.385695325356911,-0.4571331531054733,6.0,0.0
