date,news_count,negative_news_count,positive_news_count,negative_news_ratio,positive_news_ratio,category_FOMC,category_UCSB,category_FDA,title_positive_prob,title_negative_prob,title_neutral_prob,title_sentiment_score,body_positive_prob,body_negative_prob,body_neutral_prob,body_sentiment_score,body_emb_0,body_emb_1,body_emb_2,body_emb_3,body_emb_4,body_emb_5,body_emb_6,body_emb_7,body_emb_8,body_emb_9,body_emb_10,body_emb_11,body_emb_12,body_emb_13,body_emb_14,body_emb_15,body_emb_16,body_emb_17,body_emb_18,body_emb_19,body_emb_20,body_emb_21,body_emb_22,body_emb_23,body_emb_24,body_emb_25,body_emb_26,body_emb_27,body_emb_28,body_emb_29
2017-02-01,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0257567819207906,0.07490836083889,0.8993348479270935,-0.0491515789180994,0.2297664347518433,0.1059629992437536,0.6642705604824166,0.1238034355080897,-0.6415459513664246,0.04665753245353699,0.06781139969825745,-0.2908688187599182,0.028141364455223083,-0.023283034563064575,-0.04596133530139923,-0.010641469620168209,-0.019361671060323715,0.05224205553531647,0.048670414835214615,0.0055292933247983456,-0.041721902787685394,-0.07487837225198746,0.0014262273907661438,0.005729369819164276,-0.06129223853349686,-0.008949853479862213,0.028372030705213547,-0.08989519625902176,-0.02086731791496277,0.030564390122890472,-0.0018815398216247559,0.03931661695241928,0.033338360488414764,-0.03078622743487358,-0.017079435288906097,-0.009519737213850021,-0.03560979291796684,-0.00820385292172432
2017-02-22,1,0.0,1.0,0.0,0.9999999989999999,1.0,0.0,0.0,0.0271759089082479,0.0513251759111881,0.9214988946914672,-0.0241492670029401,0.5043682424043576,0.0225105492442142,0.4731212254525639,0.4818576931601434,-0.624118983745575,-0.09578871726989746,0.028156548738479614,-0.41606274247169495,0.03995594382286072,0.04727107286453247,-0.012243449687957764,0.05318470299243927,0.04657046124339104,-0.07040561735630035,0.03433955833315849,-0.0349620059132576,0.053479425609111786,-0.013227637857198715,-0.07423264533281326,0.010517731308937073,0.055533524602651596,0.009062767028808594,-0.12799713015556335,0.1011027842760086,0.04022469371557236,-0.09124313294887543,-0.02840082347393036,-0.10797655582427979,0.04152900353074074,0.11807159334421158,-0.022903122007846832,-0.00290583074092865,0.007755693979561329,0.08606939762830734
2017-03-15,1,0.0,1.0,0.0,0.9999999989999999,1.0,0.0,0.0,0.0257567819207906,0.0749083459377288,0.8993348479270935,-0.0491515640169382,0.3200856534301812,0.0703761275503652,0.6095382021674027,0.2497095258798159,-0.6044715642929077,0.014250606298446655,0.008025869727134705,-0.3552572727203369,0.0023660510778427124,-0.005274161696434021,-0.023114770650863647,0.05236873775720596,0.003232855349779129,0.0823269933462143,-0.0029557794332504272,-0.04748249053955078,-0.08526300638914108,-0.07328591495752335,0.06546121090650558,-0.005191691219806671,0.020547904074192047,-0.004847254604101181,0.03743749484419823,0.031715504825115204,0.0030029453337192535,0.0693429484963417,0.09215196222066879,0.11501675099134445,0.017154008150100708,0.03736061602830887,-0.08102444559335709,0.0412973128259182,0.016830578446388245,-0.005047958344221115
2017-04-05,1,1.0,0.0,0.9999999989999999,0.0,1.0,0.0,0.0,0.0271759089082479,0.0513251759111881,0.9214988946914672,-0.0241492670029401,0.1911334622601222,0.6491940696410534,0.1596724680988243,-0.4580606073809311,-0.6947135329246521,-0.08869172632694244,0.07483533024787903,-0.4107159972190857,0.052136972546577454,0.05903305113315582,-0.0403745174407959,0.01523530576378107,0.01790596731007099,0.03140188381075859,-0.07743582129478455,0.07071042060852051,0.005666501820087433,-0.015332091599702835,0.008086524903774261,0.05688837170600891,-0.12409848719835281,-0.0207536444067955,-0.06646816432476044,0.06253495067358017,-0.02284645289182663,-0.08389374613761902,-0.04761897772550583,-0.09748819470405579,0.0518292672932148,0.04907990247011185,0.03195352107286453,0.009599186480045319,0.03538297861814499,0.0067336298525333405
2017-05-03,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0257567819207906,0.0749083459377288,0.8993348479270935,-0.0491515640169382,0.1850301433400214,0.1463882582940303,0.6685815999947685,0.0386418850459911,-0.6652437448501587,-0.0022493302822113037,0.02675260603427887,-0.3092990815639496,-0.008309245109558105,-0.047570645809173584,-0.026265785098075867,0.014313624240458012,-0.03901590034365654,0.06627612560987473,0.0364411324262619,-0.007840652018785477,-0.08501464128494263,-0.11052115261554718,0.017031587660312653,0.06944411247968674,-0.028116904199123383,0.026331640779972076,0.03774761036038399,-0.0723644345998764,-0.0312856063246727,0.07514479011297226,0.04294108599424362,0.04938630014657974,0.0074365646578371525,0.004157297313213348,-0.08680102974176407,-0.02660900354385376,-0.02903437241911888,-0.061729222536087036
2017-05-24,1,1.0,0.0,0.9999999989999999,0.0,1.0,0.0,0.0,0.0271759089082479,0.0513251759111881,0.9214988946914672,-0.0241492670029401,0.1363244801759719,0.7466729283332825,0.1170025765895843,-0.6103484481573105,-0.7020121812820435,-0.09528307616710663,0.018363341689109802,-0.4051467478275299,0.020549431443214417,0.06554724276065826,-0.030160561203956604,-0.010440276004374027,0.006888337433338165,0.05282171815633774,-0.011500343680381775,0.025912921875715256,0.10211149603128433,0.002952300012111664,-0.022981442511081696,0.023564085364341736,-0.06706327944993973,0.006469810381531715,-0.05115644633769989,0.1392247974872589,-0.011991024017333984,-0.09402492642402649,-0.05091381072998047,-0.1374666839838028,0.012047158554196358,0.05881444364786148,0.07558442652225494,-0.03024267591536045,-0.015185153111815453,-0.048369526863098145
2017-06-14,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0257567819207906,0.0749083459377288,0.8993348479270935,-0.0491515640169382,0.1484553209079904,0.2147767259564637,0.6367679354431819,-0.0663214050484733,-0.6462198495864868,-0.036378949880599976,0.06460060179233551,-0.33175429701805115,-0.015091240406036377,-0.0501454696059227,9.326636791229248e-05,-0.05580994114279747,-0.05205749347805977,0.09865093976259232,0.007153227925300598,0.00573326088488102,-0.02321917563676834,-0.07916830480098724,-0.03639822453260422,0.0037956535816192627,-0.043478824198246,0.06742178648710251,-0.0013644741848111153,-0.14446035027503967,-0.11334354430437088,0.13925740122795105,0.0872964933514595,0.07130133360624313,0.009341694414615631,0.0006778910756111145,-0.011222392320632935,-0.06115121394395828,-0.062842458486557,-0.0789172500371933
2017-07-05,1,0.0,1.0,0.0,0.9999999989999999,1.0,0.0,0.0,0.0271759089082479,0.0513251759111881,0.9214988946914672,-0.0241492670029401,0.824079084644411,0.1120243508350491,0.0638964854572948,0.7120547338093619,-0.6951572895050049,-0.09512855112552643,0.026743173599243164,-0.4391106367111206,0.04696844518184662,0.0615752637386322,-0.05679523944854736,-0.051541272550821304,-0.05137280747294426,0.022771446034312248,-0.05033102631568909,0.07039148360490799,0.052946217358112335,0.04222597926855087,-0.02659856528043747,-0.04630360007286072,-0.01689227670431137,0.015343666076660156,-0.03795800358057022,0.07960411161184311,-0.006382599472999573,-0.0871516764163971,-0.06682008504867554,-0.08513115346431732,-0.03659076243638992,-0.02154410630464554,0.04018399491906166,0.04764646664261818,0.00629816297441721,0.01023007184267044
2017-07-26,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0257567819207906,0.0749083459377288,0.8993348479270935,-0.0491515640169382,0.0921665122131401,0.2201572718851393,0.6876762156382163,-0.1279907596719992,-0.686406135559082,0.001679837703704834,-0.00995849072933197,-0.37440070509910583,0.003147825598716736,-0.026469990611076355,0.01314002275466919,0.015902165323495865,-0.06974096596240997,0.08161752671003342,0.05320744961500168,-0.0077210357412695885,-0.05671892315149307,-0.07038459926843643,0.10654459148645401,0.007797513157129288,0.0659589171409607,-0.005804931744933128,0.0067488267086446285,-0.031167637556791306,-0.03144688159227371,0.03794950991868973,0.06961802393198013,0.09468188136816025,-0.04126043990254402,0.0005266442894935608,-0.06568168848752975,0.01550465077161789,0.044082678854465485,0.007933832705020905
2017-08-16,1,0.0,1.0,0.0,0.9999999989999999,1.0,0.0,0.0,0.027175897732377,0.0513251759111881,0.9214988946914672,-0.024149278178811,0.6701556444168091,0.2804104089736938,0.0494339726865291,0.3897452354431152,-0.6850249767303467,-0.034220486879348755,0.06364107131958008,-0.3622346520423889,0.013745412230491638,0.03969646990299225,-0.03959140181541443,-0.028917819261550903,0.03448059409856796,0.04695684835314751,-0.07917125523090363,0.004315765108913183,0.05705908685922623,0.017927147448062897,-0.03052770346403122,-0.003233145922422409,0.01001518964767456,0.05999162793159485,-0.03701166436076164,0.11201196163892746,-0.034587062895298004,-0.06866634637117386,-0.10441672801971436,-0.10365018993616104,0.011796170845627785,0.007072612643241882,0.07659624516963959,-0.0003231428563594818,0.013993382453918457,-0.09679301083087921
